# SOURCE: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Date (YYYY=year MM=month DD=day);
# FXX      = Strongest wind gust (in 0.1 m/s);
# TG       = Average temperature (in 0.1 degrees Celsius);
# TN       = Minimum temperature (in 0.1 degrees Celsius);
# TNH      = Hour in which TN is measured;
# TX       = Maximum temperature (in 0.1 degrees Celsius);
# TXH      = Hour in which TX is measured;
# SQ       = Duration of Sunshine (in 0.1 hours);
# DR       = Duration of precipitation (in 0.1 hours);
#
# STN,YYYYMMDD,  FXX,   TG,   TN,  TNH,   TX,  TXH,   SQ,   DR
#
  260,20180517,  110,  114,   85,   24,  153,   13,  117,    0
  260,20180518,   80,  109,   81,    2,  146,   14,   48,    0
  260,20180519,   50,  110,   61,   24,  141,   16,    1,    0
  260,20180520,   80,  154,   47,    2,  242,   17,  127,    0
  260,20180521,  130,  192,   91,    1,  257,   13,  115,    0
  260,20180522,   90,  183,  144,   24,  243,   12,   35,    6
  260,20180523,  110,  188,  143,    3,  252,   15,   29,    9
  260,20180524,   90,  183,  133,    4,  226,   16,   31,    7
  260,20180525,   80,  206,  159,    5,  261,   15,  105,    0
  260,20180526,   80,  230,  147,    4,  290,   16,  119,    0
  260,20180527,   90,  203,  153,   24,  262,   11,   31,   19
  260,20180528,   80,  225,  131,    4,  297,   15,  116,    3
  260,20180529,  170,  221,  180,   23,  307,   13,   80,   32
  260,20180530,   90,  215,  168,    3,  265,   14,   86,    2
  260,20180531,  130,  202,  165,   24,  240,   15,   77,    9
  260,20180601,   80,  176,  144,   21,  234,   10,   12,   15
  260,20180602,   80,  170,  148,   24,  203,   15,    1,   12
  260,20180603,   70,  193,  155,    5,  235,   13,   46,    0
  260,20180604,   80,  182,  158,    2,  232,   14,   49,    0
  260,20180605,   70,  167,  134,   24,  208,   14,   79,    0
  260,20180606,   70,  198,  115,    4,  276,   15,  142,    0
  260,20180607,   70,  224,  128,    4,  286,   15,  148,    0
  260,20180608,   70,  185,  174,   24,  199,   14,    0,   36
  260,20180609,   80,  198,  162,    3,  245,   14,   87,    0
  260,20180610,   80,  182,  129,   24,  228,   15,   98,    0
  260,20180611,  100,  169,  101,    4,  224,   16,  128,    0
  260,20180612,   80,  148,  131,    4,  167,   17,    6,    0
  260,20180613,  100,  147,   96,   22,  194,   16,   55,    0
  260,20180614,  120,  157,   90,    2,  198,   11,   32,   12
  260,20180615,   60,  188,  148,    4,  242,   16,   83,    0
  260,20180616,  100,  175,  147,    3,  213,   14,   32,    0
  260,20180617,  110,  156,  142,    2,  182,   14,    4,    0
  260,20180618,  110,  167,  147,    1,  192,   16,   21,    0
  260,20180619,   80,  177,  138,   24,  204,   15,    1,    0
  260,20180620,   90,  191,  139,    1,  252,   17,   76,    0
  260,20180621,  140,  144,  116,   21,  177,    1,   81,    0
  260,20180622,  150,  133,   91,   24,  168,   13,   15,    0
  260,20180623,   80,  151,   89,    1,  200,   15,   49,    0
  260,20180624,   80,  147,  107,    3,  177,   12,    7,    0
  260,20180625,   90,  165,  105,   24,  214,   15,   96,    0
  260,20180626,   90,  160,   89,    2,  215,   14,  125,    0
  260,20180627,   90,  179,   99,    4,  245,   16,  125,    0
  260,20180628,  130,  212,  145,    4,  270,   14,  145,    0
  260,20180629,  100,  195,  137,    4,  261,   14,  153,    0
  260,20180630,  100,  213,  126,    4,  279,   14,  153,    0
  260,20180701,  150,  213,  156,    4,  265,   15,  153,    0
  260,20180702,  120,  206,  129,    4,  269,   15,  153,    0
  260,20180703,   90,  196,  125,    4,  260,   13,  153,    0
  260,20180704,   70,  192,  132,    4,  252,   12,  119,    0
  260,20180705,   90,  189,  136,    4,  243,   14,  134,    0
  260,20180706,   60,  195,  130,   24,  252,   15,   64,    0
  260,20180707,   70,  183,  100,    4,  249,   14,  119,    0
  260,20180708,  100,  186,  100,    4,  244,   14,  148,    0
  260,20180709,   90,  175,  115,    4,  227,   12,   22,    0
  260,20180710,  130,  161,  114,   24,  217,   16,   42,    4
  260,20180711,  110,  178,   93,    4,  227,   16,   79,    0
  260,20180712,   90,  190,  136,   24,  246,   15,  114,    0
  260,20180713,   80,  185,  125,    2,  243,   14,  111,    0
  260,20180714,   90,  188,  108,    4,  249,   15,  148,    0
  260,20180715,   70,  208,  106,    4,  287,   15,  140,    0
  260,20180716,   70,  226,  114,    4,  297,   14,  137,    0
  260,20180717,  100,  200,  120,   24,  260,   13,  127,    0
  260,20180718,   70,  191,  104,    4,  253,   13,   98,    0
  260,20180719,   80,  196,  118,    5,  259,   15,   98,    0
  260,20180720,   70,  191,  105,    4,  252,   17,  124,    0
  260,20180721,   90,  211,  147,    5,  268,   14,  141,    0
  260,20180722,   90,  206,  140,   24,  272,   13,  108,    0
  260,20180723,   60,  225,  131,    4,  297,   16,  147,    0
  260,20180724,   80,  246,  159,    4,  319,   14,  101,    0
  260,20180725,   80,  244,  183,    5,  302,   15,   76,    0
  260,20180726,  120,  277,  192,    5,  357,   16,  118,    0
  260,20180727,  120,  297,  224,   24,  354,   15,  132,    0
  260,20180728,  130,  203,  134,   23,  242,   13,   71,   17
  260,20180729,  120,  213,  135,    1,  267,   13,   44,    0
  260,20180730,  140,  240,  168,   24,  306,   15,   93,    0
  260,20180731,  130,  206,  130,   24,  266,   11,   92,    0
  260,20180801,   70,  204,  111,    4,  276,   16,  103,    0
  260,20180802,   80,  226,  145,    5,  297,   14,  133,    0
  260,20180803,   70,  239,  143,    4,  307,   14,  138,    0
  260,20180804,   90,  224,  162,    5,  283,   13,   98,    0
